0,95;0,45;13,8;15,2
0,5;0,1;9,48;10,08
0,1;0;7,65;7,75
0,75;0;10,7;11,45
1;0;13,4;14,4
0,3;1;10,68;11,98
0,95;0,5;11,23;12,68
0,15;0,9;10,45;11,5
0,5;0;9,35;9,85
0,85;0,9;13,7;15,45
0,75;0,6;12,45;13,8
1;0,05;7,78;8,83
0,95;0,9;13,03;14,88
0,1;0;8,4;8,5
0;0;12,33;12,33
0,25;0,9;12,5;13,65
0,05;0,05;6;6,1
0,15;0;9,33;9,48
0,95;0,8;15,7;17,45
0,1;0;11,13;11,23
0,75;0,5;12,4;13,65
1;0,9;14,4;16,3
0,95;0,95;13,5;15,4
1;0,75;14,4;16,15
0,25;0,5;9,25;10
0,95;0,9;14,38;16,23
1;1;17,4;19,4
1;1;15,03;17,03
0,75;0;11,6;12,35
0,25;0,7;12,5;13,45
0,7;0;13,3;14
0,5;0,75;12;13,25
1;0,95;16,8;18,75
0;0,95;16,05;17
0,1;0,75;12,3;13,15
1;0,6;13,5;15,1
0,75;0,05;9,8;10,6
0,75;1;13,5;15,25
0,95;0,95;13,5;15,4
0,05;0,45;14,5;15
0,25;0,05;8,43;8,73
0,5;0,95;14,98;16,43
0,95;1;14,4;16,35
1;0,6;18;19,6
0,95;0,95;15,6;17,5
0,75;0,75;15,1;16,6
1;0,5;15,7;17,2
0,95;0,95;15,8;17,7
1;0,05;9,5;10,55
0,75;0,1;11,58;12,43
0,75;0,6;17,4;18,75
0,1;0;6,6;6,7
0,1;0;5,3;5,4
