0,5;0;0;0,5
1;0,1;0,95;2,05
1;0,05;0,1;1,15
0,5;1;0;1,5
0,75;0;13,3;14,05
0,75;0,3;12,1;13,15
0,45;0,5;0,75;1,7
0,25;0;10,2;10,45
0,45;1;17,15;18,6
0,75;0,1;5;5,85
0,1;0,85;1,9;2,85
0,45;0,9;2,95;4,3
0,9;1;7,15;9,05
1;0,9;0;1,9
1;1;3,25;5,25
1;0,9;1,45;3,35
0,9;0,05;2,5;3,45
0,5;0,1;4,35;4,95
1;0;13,83;14,83
0,5;0,95;2,65;4,1
0,95;0,25;4,13;5,33
0,5;0,9;1;2,4
0,5;0,75;3;4,25
1;0;3,25;4,25
0,5;0,1;11,93;12,53
0,75;0,85;0,98;2,58
1;0,75;0;1,75
0,75;0,95;0,55;2,25
0,75;0,05;3,7;4,5
0,5;1;1,9;3,4
0,5;0,05;0;0,55
0;0,05;0;0,05
0,5;0,25;0;0,75
0;1;2,25;3,25
0,95;0;0;0,95
0,95;0,75;3,35;5,05
0,1;1;2,05;3,15
1;0,05;0;1,05
0,95;0,75;1,2;2,9
0,25;0,9;15,2;16,35
0,5;0,95;0,5;1,95
0,9;0,5;3,6;5
1;1;2,65;4,65
0,85;1;5,95;7,8
0,5;0,1;0;0,6
0,5;0,85;3;4,35
0,5;1;16,9;18,4
0,75;0,05;0;0,8
0,75;0,95;0,85;2,55
0,75;1;2,1;3,85
0,95;0,1;3,9;4,95
0,95;1;2;3,95
0,95;0,95;6;7,9
0,5;0,9;0;1,4
1;1;17,4;19,4
