0,45;0;9,1;9,55
0,4;0,25;5,65;6,3
1;0;8,95;9,95
0,4;0;3,45;3,85
0,45;0,4;10,25;11,1
0,4;0,1;14,8;15,3
0,45;0;7,8;8,25
0,5;0;12,33;12,83
1;0;9,9;10,9
0,25;0,1;4,4;4,75
0,25;1;4,1;5,35
1;0;14,4;15,4
0,4;0,5;8,25;9,15
0,5;0,4;5,75;6,65
0,4;0,75;8,3;9,45
1;1;14,4;16,4
0,95;0,05;11,45;12,45
0,45;0,15;4,25;4,85
0,5;0,6;10,18;11,28
0,2;0,95;2,4;3,55
0,5;0;13,2;13,7
0,5;0,65;12;13,15
0,95;1;15,6;17,55
0,95;1;18;19,95
0,95;0,5;15,9;17,35
0,75;0,25;15;16
1;1;14,65;16,65
0,75;1;10,28;12,03
1;1;17,4;19,4
0,25;0,9;10,6;11,75
0,25;0,2;7,15;7,6
0,5;0,3;10,2;11
0,5;0,5;7,8;8,8
1;1;17,4;19,4
0,75;0,05;16,2;17
0,5;0,75;15,45;16,7
0,75;0,9;16,8;18,45
0,75;0,75;17,4;18,9
0,75;0,75;13,5;15
1;0,25;15;16,25
0,75;0,25;15;16
1;1;16,8;18,8
0,45;0,85;9,18;10,48
0,1;0,05;10,4;10,55
0,75;0,1;13,88;14,73
1;1;15,9;17,9
0,75;0,9;11,03;12,68
0,5;0,75;11,4;12,65
0,25;0,05;4,9;5,2
0,1;0,1;14,28;14,48
0,45;0;11,4;11,85
0,75;0,85;9,68;11,28
0,4;0,9;11,35;12,65
0,45;1;12,9;14,35
0,95;0,25;14,4;15,6
0,75;0,85;17,4;19
0,25;0,75;17,4;18,4
1;0,6;17,4;19
0,4;0,1;12;12,5
0,4;0,25;11,6;12,25
0,2;0,85;15,7;16,75
0,5;0,8;17,5;18,8
0,45;0,5;9,85;10,8
0,75;0;5,05;5,8
0,1;0,05;7,83;7,98
1;0,25;10,15;11,4
0,75;0,05;11,1;11,9
