0,75;0;8,35;9,1
1;0;10;11
0;0;14,1;14,1
0,95;0,05;8,75;9,75
1;0;12,4;13,4
0;0;3;3
0,5;1;7,88;9,38
0,75;0,2;10,5;11,45
0,5;0,05;10,4;10,95
0,15;0;11,3;11,45
1;0;13;14
0,5;1;15,3;16,8
0,5;0,75;12,4;13,65
0,25;0;9,5;9,75
0,2;0;4,55;4,75
1;0,25;13,5;14,75
0,5;0,25;15,95;16,7
0,5;0,15;14,1;14,75
0,25;0;10,5;10,75
0,75;0,1;8;8,85
0,4;0,05;11;11,45
0,5;0,5;10,9;11,9
1;0,65;9,18;10,83
0,5;0,75;10,25;11,5
0,5;0;10,75;11,25
0;0,65;5,2;5,85
0,5;0,05;11,95;12,5
0,5;0,25;15,2;15,95
0,5;1;14,28;15,78
0,45;0,05;14,2;14,7
0,5;0,75;15,7;16,95
0,25;0,15;5,13;5,53
0,1;1;14,08;15,18
0,95;0,6;11,3;12,85
0,25;0,5;7,08;7,83
0,5;1;17,4;18,9
0,5;0,9;14,6;16
0,25;1;8,7;9,95
0,5;0,35;11,1;11,95
0,75;0;13,33;14,08
0,5;0,5;7,9;8,9
0,5;1;16,3;17,8
0,5;0,4;8,7;9,6
0,15;0,5;6,3;6,95
0,5;0;8,95;9,45
0,95;0;6,63;7,58
0,3;0,1;9,28;9,68
0;0,9;6,9;7,8
0,5;0,5;11,5;12,5
0,25;1;15,9;17,15
0,25;0;10,28;10,53
0,75;1;14,6;16,35
1;1;16,3;18,3
0,5;0,75;11,1;12,35
0,75;1;16,8;18,55
0,45;0;9,1;9,55
0,4;0,25;5,65;6,3
1;0;8,95;9,95
0,4;0;3,45;3,85
0,45;0,4;10,25;11,1
0,4;0,1;14,8;15,3
0,45;0;7,8;8,25
0,5;0;12,33;12,83
1;0;9,9;10,9
0,25;0,1;4,4;4,75
0,25;1;4,1;5,35
1;0;14,4;15,4
0,4;0,5;8,25;9,15
0,5;0,4;5,75;6,65
0,4;0,75;8,3;9,45
1;1;14,4;16,4
0,95;0,05;11,45;12,45
0,45;0,15;4,25;4,85
0,5;0,6;10,18;11,28
0,2;0,95;2,4;3,55
0,5;0;13,2;13,7
0,5;0,65;12;13,15
0,95;1;15,6;17,55
0,95;1;18;19,95
0,95;0,5;15,9;17,35
0,75;0,25;15;16
1;1;14,65;16,65
0,75;1;10,28;12,03
1;1;17,4;19,4
0,25;0,9;10,6;11,75
0,25;0,2;7,15;7,6
0,5;0,3;10,2;11
0,5;0,5;7,8;8,8
1;1;17,4;19,4
0,75;0,05;16,2;17
0,5;0,75;15,45;16,7
0,75;0,9;16,8;18,45
0,75;0,75;17,4;18,9
0,75;0,75;13,5;15
1;0,25;15;16,25
0,75;0,25;15;16
1;1;16,8;18,8
0,45;0,85;9,18;10,48
0,1;0,05;10,4;10,55
0,75;0,1;13,88;14,73
1;1;15,9;17,9
0,75;0,9;11,03;12,68
0,5;0,75;11,4;12,65
